Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1509.4323129186605
FDW14,OUT017,1467.1630529801332
NCN55,OUT010,542.975539597315
FDQ58,OUT017,2384.015126168224
FDY38,OUT027,5669.16335142857
FDH56,OUT046,1874.4309598591542
FDL48,OUT018,754.5960957264955
FDC48,OUT027,2513.079854666666
FDN33,OUT045,1554.007075641026
FDA36,OUT017,3087.5075112820496
FDT44,OUT017,1874.4309598591542
FDQ56,OUT045,1467.1630529801332
NCC54,OUT019,542.975539597315
FDU11,OUT049,2054.215706620209
DRL59,OUT013,754.5960957264955
FDM24,OUT049,2384.015126168224
FDI57,OUT045,2880.9695613636363
DRC12,OUT018,2880.9695613636363
NCM42,OUT027,3175.3359881578954
FDA46,OUT010,542.975539597315
FDA31,OUT013,2736.9684298755196
NCJ31,OUT035,3593.1412351254485
FDG52,OUT046,754.5960957264955
NCL19,OUT019,286.4177705128203
FDS10,OUT035,2880.9695613636363
FDX22,OUT010,542.975539597315
NCF19,OUT035,754.5960957264955
NCE06,OUT046,2384.015126168224
DRC27,OUT046,4109.900606217616
FDE21,OUT035,1874.4309598591542
NCR42,OUT019,130.33349056603777
FDX51,OUT018,3087.5075112820496
NCR06,OUT018,637.5735090128753
FDU31,OUT027,5669.16335142857
FDU59,OUT017,2384.015126168224
FDR03,OUT027,5669.16335142857
FDS49,OUT027,2513.079854666666
FDD48,OUT010,286.4177705128203
NCF18,OUT017,2880.9695613636363
NCD43,OUT027,2513.079854666666
NCD54,OUT018,1936.508247826087
FDY19,OUT010,286.4177705128203
NCY54,OUT017,2997.4076790419153
NCL19,OUT018,2346.648786938777
FDP23,OUT010,542.975539597315
FDC26,OUT013,1722.331611173185
FDR14,OUT010,130.33349056603777
NCS41,OUT035,3389.2269793548367
FDF41,OUT035,3593.1412351254485
FDU34,OUT046,2054.215706620209
DRH11,OUT046,876.3205797979801
FDM03,OUT013,1722.331611173185
FDS31,OUT017,3389.2269793548367
FDJ20,OUT017,2054.215706620209
FDV44,OUT027,5669.16335142857
FDG02,OUT049,3087.5075112820496
FDA09,OUT013,2736.9684298755196
FDT04,OUT013,637.5735090128753
FDL58,OUT019,542.975539597315
FDE52,OUT045,1333.2154270916342
FDW12,OUT035,2384.015126168224
FDL51,OUT017,3753.0000993630574
NCY42,OUT027,3175.3359881578954
FDR07,OUT017,1554.007075641026
FDN40,OUT045,2384.015126168224
FDB35,OUT027,2513.079854666666
FDA22,OUT017,2384.015126168224
NCL06,OUT046,4311.57625131579
FDI35,OUT013,3389.2269793548367
