Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2181.335047849613
FDW14,OUT017,2181.192528278944
NCN55,OUT010,2181.0022840320325
FDQ58,OUT017,2181.3111792034833
FDY38,OUT027,2181.8422672948254
FDH56,OUT046,2181.2069329850133
FDL48,OUT018,2181.2197816889084
FDC48,OUT027,2181.620114034347
FDN33,OUT045,2181.1810848461387
FDA36,OUT017,2181.3666593870976
FDT44,OUT017,2181.224303352747
FDQ56,OUT045,2181.1692343251584
NCC54,OUT019,2180.9552016269677
FDU11,OUT049,2181.333477709985
DRL59,OUT013,2181.200090228964
FDM24,OUT049,2181.3858524678208
FDI57,OUT045,2181.3718215557146
DRC12,OUT018,2181.4676865848314
NCM42,OUT027,2181.6636754331817
FDA46,OUT010,2180.893939906791
FDA31,OUT013,2181.3766137520615
NCJ31,OUT035,2181.401391269734
FDG52,OUT046,2181.0918189748218
NCL19,OUT019,2180.836179204476
FDS10,OUT035,2181.34769209271
FDX22,OUT010,2180.9672714803555
NCF19,OUT035,2181.1279612822887
NCE06,OUT046,2181.271702704357
DRC27,OUT046,2181.4191526395507
FDE21,OUT035,2181.2453989439477
NCR42,OUT019,2180.6422625680275
FDX51,OUT018,2181.4769119843468
NCR06,OUT018,2181.2297083595236
FDU31,OUT027,2181.8430374640047
FDU59,OUT017,2181.3020651436086
FDR03,OUT027,2181.8269792377687
FDS49,OUT027,2181.6001122883767
FDD48,OUT010,2180.8060830058753
NCF18,OUT017,2181.350333486462
NCD43,OUT027,2181.656938115543
NCD54,OUT018,2181.389708856274
FDY19,OUT010,2180.8048249125
NCY54,OUT017,2181.2936526772282
NCL19,OUT018,2181.396127904751
FDP23,OUT010,2180.9737210954436
FDC26,OUT013,2181.2680366285063
FDR14,OUT010,2180.638156692543
NCS41,OUT035,2181.3464187408817
FDF41,OUT035,2181.430329303177
FDU34,OUT046,2181.2163392216485
DRH11,OUT046,2181.1042427744896
FDM03,OUT013,2181.25996603041
FDS31,OUT017,2181.3454227625007
FDJ20,OUT017,2181.23173706862
FDV44,OUT027,2181.7907033060815
FDG02,OUT049,2181.4675737703305
FDA09,OUT013,2181.374105122682
FDT04,OUT013,2181.151972488627
FDL58,OUT019,2181.0052103892167
FDE52,OUT045,2181.1997331933853
FDW12,OUT035,2181.288337761732
FDL51,OUT017,2181.400483157816
NCY42,OUT027,2181.719837434023
FDR07,OUT017,2181.196328038494
FDN40,OUT045,2181.286064443977
FDB35,OUT027,2181.6210192537983
FDA22,OUT017,2181.3082228544245
NCL06,OUT046,2181.4444982451514
FDI35,OUT013,2181.4074311124773
NCW42,OUT045,2181.408242116872
NCX06,OUT049,2181.4518548741717
FDC37,OUT027,2181.6598518271117
FDZ14,OUT018,2181.3494719501186
DRG49,OUT049,2181.5439254428898
NCG06,OUT045,2181.4740666293474
DRC36,OUT045,2181.3331400083553
FDV21,OUT019,2180.726127091546
FDB53,OUT046,2181.2363409245777
DRP47,OUT019,2180.9526283288787
FDA14,OUT013,2181.3407376705873
DRC24,OUT035,2181.30451244737
FDW21,OUT018,2181.326059236566
NCH29,OUT046,2181.1830450830375
FDU58,OUT013,2181.4233513806103
FDY27,OUT017,2181.3435044963767
FDV56,OUT035,2181.2356604092993
FDT59,OUT046,2181.408447127345
FDB23,OUT046,2181.403174352502
FDR49,OUT045,2181.0945474264145
FDB03,OUT010,2180.95448531855
FDN39,OUT045,2181.3190027258233
FDX02,OUT027,2181.842409804398
FDQ16,OUT027,2181.656554419252
FDU35,OUT018,2181.3021849048027
NCT29,OUT013,2181.30303448993
FDZ27,OUT046,2181.1069372440465
FDN57,OUT017,2181.275363872908
FDA03,OUT018,2181.3884618136804
FDZ36,OUT045,2181.346759254772
NCU05,OUT013,2181.236992474239
FDT39,OUT018,2181.408250559269
FDK60,OUT017,2181.1921459056625
FDZ25,OUT017,2181.330997190744
FDG12,OUT046,2181.232278832076
DRB01,OUT019,2180.882622253394
NCC43,OUT027,2181.877138634116
FDX13,OUT019,2180.9948086545714
FDM22,OUT049,2181.234309431006
FDJ03,OUT027,2181.5501877396496
FDU14,OUT018,2181.5640295092558
FDB33,OUT010,2180.8881600617397
FDP27,OUT046,2181.3116619478524
FDO38,OUT010,2180.7231611508046
FDE28,OUT027,2181.834725583423
FDO27,OUT035,2181.163860343308
DRL23,OUT027,2181.6632539178063
FDS28,OUT046,2181.100380336516
FDX24,OUT013,2181.2691455538506
FDZ02,OUT035,2181.2075574367095
FDL46,OUT045,2181.2367358933566
FDS60,OUT027,2181.776470835463
NCO06,OUT017,2181.0820008713918
FDO16,OUT035,2181.195040232493
FDC60,OUT049,2181.269232656752
FDA48,OUT018,2181.4908063474886
FDZ36,OUT027,2181.778258627203
FDK27,OUT045,2181.256381199385
FDW23,OUT018,2181.2012264981604
FDM14,OUT018,2181.3395361399666
FDM14,OUT013,2181.295225377609
FDW60,OUT018,2181.4501689402146
FDE21,OUT013,2181.3059136490883
NCM42,OUT035,2181.231978973154
FDY59,OUT010,2180.772329562822
DRI49,OUT049,2181.2386546774073
FDT28,OUT019,2180.8258860148526
FDQ22,OUT018,2181.2181542001013
FDR60,OUT049,2181.246609217145
FDC50,OUT019,2180.694412117553
FDV24,OUT013,2181.3403223811174
DRF48,OUT010,2180.931876568329
FDQ47,OUT046,2181.042802859963
DRN36,OUT049,2181.3049965103164
NCY06,OUT035,2181.2538757164693
FDE52,OUT035,2181.198762554266
NCB54,OUT045,2181.254418763346
NCF31,OUT035,2181.296287611112
FDJ08,OUT027,2181.7714274192003
NCC07,OUT017,2181.2278025189235
NCD19,OUT027,2181.5758497321754
FDL46,OUT049,2181.3387752270737
FDM20,OUT045,2181.4547135868283
NCI06,OUT010,2180.9069976334217
DRM11,OUT035,2181.4682145760903
NCH07,OUT018,2181.3955289597416
FDS23,OUT013,2181.292285875907
FDO49,OUT018,2181.2328738574047
FDS35,OUT049,2181.233775893658
DRK39,OUT045,2181.181169937529
DRI39,OUT049,2181.226470188758
FDV04,OUT017,2181.275691911742
NCN14,OUT035,2181.3337834569543
FDH08,OUT013,2181.496812937506
FDS20,OUT046,2181.31864998338
FDV40,OUT049,2181.2793353306256
FDZ48,OUT010,2180.7774877962142
FDS24,OUT027,2181.617060595826
FDK44,OUT049,2181.4105616819543
FDS48,OUT045,2181.300422657066
FDK26,OUT010,2180.9254204934
FDD23,OUT045,2181.356602890983
NCH54,OUT017,2181.3046220388974
NCP14,OUT010,2180.753697117495
FDM60,OUT010,2180.6739515546124
FDV24,OUT017,2181.278621685793
FDH08,OUT018,2181.534184703158
FDS12,OUT027,2181.6499966330816
FDR39,OUT027,2181.764295680501
FDP12,OUT027,2181.5378060310095
DRF60,OUT027,2181.8658727869188
FDC09,OUT035,2181.2215912525357
FDF50,OUT018,2181.454358293372
FDG28,OUT035,2181.447781413566
NCE19,OUT017,2181.123548641128
NCM53,OUT010,2180.7855955332534
NCN18,OUT049,2181.31446689158
FDF32,OUT035,2181.3682673028843
FDF11,OUT013,2181.5105405460613
DRI59,OUT049,2181.5188028556427
NCG54,OUT035,2181.315855454224
FDM44,OUT046,2181.190713306797
FDT57,OUT018,2181.5459579447215
FDV24,OUT046,2181.2513737151326
FDI50,OUT019,2180.96936891824
FDS09,OUT035,2181.1201800421295
NCC31,OUT027,2181.7403112073466
FDQ07,OUT019,2180.925303889207
FDC22,OUT017,2181.335650798452
FDZ56,OUT046,2181.304460564371
FDZ40,OUT019,2180.677424569201
FDS46,OUT027,2181.672391202939
DRD24,OUT045,2181.282762007066
FDV45,OUT017,2181.358576012785
FDL26,OUT045,2181.295143769716
FDA56,OUT018,2181.3622046434743
FDN27,OUT046,2181.215874323538
FDM20,OUT049,2181.552138062446
FDO16,OUT017,2181.1920426337633
FDL03,OUT035,2181.3746714071744
FDE58,OUT046,2181.2102133451394
FDI02,OUT027,2181.6422364428367
NCC55,OUT019,2180.6402686286247
FDR03,OUT018,2181.4988187955337
FDB14,OUT017,2181.1819023203648
FDR45,OUT013,2181.50959129715
NCN07,OUT017,2181.2643075281353
FDM51,OUT019,2180.7646643408566
FDT52,OUT027,2181.881212109237
FDL26,OUT046,2181.265454799913
NCZ42,OUT046,2181.4236234171744
DRI47,OUT019,2180.838829942391
FDW40,OUT013,2181.3222272384633
FDN34,OUT046,2181.3001451947252
FDS01,OUT035,2181.3489951029483
NCG55,OUT045,2181.239991478438
FDC11,OUT035,2181.1618491368145
FDX35,OUT018,2181.511504640892
NCB06,OUT046,2181.2727879409263
FDR09,OUT019,2180.9977947841626
FDC53,OUT017,2181.217222015301
FDY45,OUT013,2181.5351893643438
FDA22,OUT010,2180.868921806136
FDE02,OUT035,2181.180954011245
FDW21,OUT045,2181.224523774228
FDV34,OUT046,2181.1506886222646
FDS59,OUT049,2181.326323019732
NCW17,OUT017,2181.2651625593603
NCK54,OUT046,2181.2172761257693
FDG17,OUT019,2180.9938510205775
FDG35,OUT017,2181.3437400818243
FDD08,OUT010,2180.6777595383005
NCO07,OUT017,2181.4054775968702
FDJ10,OUT010,2180.803116818929
FDW36,OUT017,2181.2145461338746
FDW21,OUT010,2180.79813543016
FDY19,OUT017,2181.242302294208
DRE03,OUT013,2181.191010715371
NCC55,OUT049,2181.2032308493167
FDH52,OUT010,2180.716025566198
FDO09,OUT017,2181.4591834040707
FDU43,OUT045,2181.4377695024823
FDX09,OUT010,2180.889278639952
FDH40,OUT019,2180.705374965337
FDW58,OUT017,2181.2300264179794
FDC47,OUT017,2181.3993279418873
NCR41,OUT035,2181.210321228956
DRG49,OUT035,2181.4437353634016
FDC52,OUT027,2181.7399133362546
FDY13,OUT046,2181.14669722617
FDY35,OUT013,2181.1884513922796
FDI35,OUT017,2181.347501129176
NCU18,OUT049,2181.376057252042
FDY33,OUT018,2181.3942789240295
FDC15,OUT027,2181.6981964883903
FDU01,OUT049,2181.464413556212
NCU42,OUT046,2181.306650058083
NCV29,OUT018,2181.448158510307
NCY30,OUT017,2181.353976623711
FDQ46,OUT049,2181.3133608155176
FDG58,OUT027,2181.7191187574267
FDK33,OUT017,2181.408506170008
NCD07,OUT045,2181.234188350016
NCX29,OUT027,2181.7029194663996
NCT42,OUT013,2181.3579748895218
DRN59,OUT035,2181.116496570116
FDI44,OUT035,2181.160409750213
FDA45,OUT049,2181.407029425682
FDP31,OUT045,2181.1200399372983
FDY01,OUT046,2181.1719146497358
FDT09,OUT018,2181.3773116112447
DRH03,OUT027,2181.6366039969403
FDA36,OUT018,2181.468201166736
NCF31,OUT017,2181.297517714961
FDG14,OUT049,2181.393917103541
FDG28,OUT027,2181.8816528776224
FDU14,OUT049,2181.561832235204
FDY47,OUT019,2180.7973868511317
FDI56,OUT049,2181.2805919684747
DRD01,OUT013,2181.1954923974768
FDM22,OUT046,2181.1101019860844
FDH33,OUT013,2181.1539666484286
DRZ24,OUT013,2181.2916602203863
NCQ38,OUT046,2181.202311122081
FDO16,OUT027,2181.6252327214033
FDU07,OUT027,2181.7195898471127
NCB07,OUT013,2181.4184995061555
FDU48,OUT045,2181.2614071313055
NCM43,OUT045,2181.3265982255402
FDR31,OUT010,2180.846758772863
DRK49,OUT018,2181.2188233366583
NCI30,OUT010,2181.0075004527616
DRD60,OUT017,2181.3477289378707
NCG19,OUT046,2181.376961654107
FDH12,OUT035,2181.2078787802834
FDM32,OUT035,2181.205050657954
FDM27,OUT035,2181.270238310384
NCU53,OUT027,2181.752365149689
NCQ18,OUT046,2181.155989637289
FDS10,OUT013,2181.40573311217
FDB33,OUT027,2181.746552180194
FDI12,OUT013,2181.2323666870802
NCW42,OUT013,2181.4686372579704
NCC06,OUT018,2181.3659754991577
FDW02,OUT017,2181.256317073498
NCD43,OUT017,2181.227211620947
FDM57,OUT018,2181.275991539748
FDA58,OUT017,2181.4197575577346
FDK56,OUT046,2181.2994961778863
FDP52,OUT045,2181.423317741454
FDW20,OUT018,2181.3591323869214
FDS52,OUT049,2181.3233539979105
NCT29,OUT018,2181.340337911273
NCL54,OUT013,2181.387378534627
FDC05,OUT045,2181.357611426514
FDF34,OUT035,2181.3805451455446
FDP03,OUT027,2181.678261333027
FDD32,OUT010,2180.7498767604584
FDZ10,OUT045,2181.256484630966
FDZ40,OUT035,2181.137220362424
FDD51,OUT018,2181.1980416961305
NCY30,OUT019,2180.8922984164333
FDP58,OUT017,2181.3790640020584
FDV49,OUT017,2181.488421904994
FDY24,OUT019,2180.6261916273174
NCO55,OUT017,2181.2094798155345
FDR13,OUT017,2181.243790423715
FDS51,OUT017,2181.152575220357
FDP26,OUT045,2181.191004233521
NCB54,OUT027,2181.6894799014844
FDF32,OUT017,2181.36484715471
FDN31,OUT018,2181.452121697507
DRM48,OUT017,2181.0855403358346
FDN20,OUT049,2181.4304775039527
DRL01,OUT046,2181.3935091121075
FDV56,OUT049,2181.33224699983
DRH13,OUT027,2181.6617521129288
FDA03,OUT017,2181.2865710966057
FDF47,OUT027,2181.831576331543
FDX32,OUT046,2181.2445907812844
FDX57,OUT049,2181.3044333381804
NCA30,OUT045,2181.3357828141197
FDO49,OUT013,2181.1920585154307
FDL04,OUT019,2180.724507200859
DRM48,OUT035,2181.0877181132323
FDR16,OUT013,2181.439696332066
NCC19,OUT018,2181.4507556221033
NCE42,OUT045,2181.4454186360917
FDY24,OUT017,2181.110466069067
FDH19,OUT049,2181.439021120571
FDJ46,OUT013,2181.393406708721
FDN45,OUT010,2180.9447048773163
FDY08,OUT035,2181.2398830331203
FDZ37,OUT035,2181.1969424869326
NCT30,OUT045,2181.114043810591
DRY23,OUT018,2181.1982192548885
NCZ30,OUT018,2181.35478658699
FDC44,OUT018,2181.2971174928834
FDB45,OUT035,2181.2262068802947
FDY04,OUT013,2181.3772952648014
FDM27,OUT046,2181.2488640425236
FDZ43,OUT017,2181.440964881874
FDT39,OUT019,2180.853062816576
NCC06,OUT019,2180.804496506572
FDL15,OUT027,2181.7306638881005
FDL57,OUT017,2181.4648300713425
FDU08,OUT046,2181.187379464884
FDK40,OUT017,2181.4892334400315
FDQ12,OUT010,2180.993426529391
FDS48,OUT017,2181.3010574803975
FDP09,OUT045,2181.3998192921395
FDW21,OUT049,2181.320953213854
FDY25,OUT035,2181.3486572986035
DRE13,OUT017,2181.192710274082
FDV43,OUT019,2180.6397394030687
FDD22,OUT045,2181.2145310470587
FDM46,OUT019,2180.678851437669
NCO30,OUT010,2180.9303982374113
FDM25,OUT046,2181.3013388766603
NCN41,OUT049,2181.3464782741457
FDU24,OUT045,2181.171973184329
FDZ50,OUT046,2181.312334221625
FDP45,OUT013,2181.5265049893824
NCM54,OUT045,2181.252889609468
FDW10,OUT019,2180.8618966546146
FDP20,OUT017,2181.2572786803507
FDK32,OUT046,2181.2673520278345
FDN52,OUT049,2181.2647303283597
FDM58,OUT045,2181.2255164402186
FDZ46,OUT027,2181.653425453821
NCA18,OUT018,2181.3383010733683
FDD35,OUT046,2181.226009133058
NCK31,OUT035,2181.133442076202
FDI40,OUT027,2181.619670971997
FDT50,OUT019,2180.714238756661
NCT06,OUT046,2181.293048291244
FDT31,OUT035,2181.366287792707
FDT45,OUT049,2181.229771775934
FDT13,OUT045,2181.3631843223848
FDO50,OUT045,2181.1866633075883
NCU18,OUT010,2180.837545937028
NCR54,OUT049,2181.4542571401657
NCO18,OUT018,2181.448607223068
FDU09,OUT045,2181.1328698384646
FDT13,OUT018,2181.4657025021575
FDE09,OUT046,2181.2113991636625
NCK53,OUT019,2180.7566542357076
FDG45,OUT049,2181.4829922822355
DRH15,OUT035,2181.10141495028
FDO21,OUT019,2180.9741194890216
FDD14,OUT027,2181.744689910653
FDC09,OUT046,2181.1943325348843
FDH45,OUT027,2181.531079575618
FDV32,OUT046,2181.113506564668
FDG12,OUT035,2181.2545843519933
FDS32,OUT013,2181.343091509866
NCL55,OUT018,2181.557012067978
DRE01,OUT035,2181.4120103794435
DRE15,OUT049,2181.281047461105
NCL42,OUT045,2181.4555300137445
FDP31,OUT013,2181.1780469935093
FDN33,OUT018,2181.2792474105336
FDZ59,OUT046,2181.273673780407
FDE45,OUT010,2180.907099232093
FDJ07,OUT013,2181.311699484911
FDQ45,OUT018,2181.4629441128463
FDM33,OUT027,2181.8267664503664
FDO15,OUT010,2180.7536245276233
FDM46,OUT013,2181.225542088705
FDR03,OUT045,2181.396789818276
FDY49,OUT018,2181.432833575855
FDQ60,OUT045,2181.2232692226116
FDW10,OUT049,2181.430104512633
FDO51,OUT049,2181.2203490889615
FDJ40,OUT018,2181.3264488414848
FDS20,OUT018,2181.446390419578
FDU45,OUT013,2181.2955695056835
FDV02,OUT035,2181.3214373728733
FDN09,OUT046,2181.422127288518
NCM55,OUT027,2181.7793747194464
FDN23,OUT018,2181.377864835512
FDY31,OUT010,2180.8507637535135
FDW03,OUT010,2180.7965303054266
FDD14,OUT046,2181.284704798135
FDV23,OUT017,2181.235593709288
DRI03,OUT045,2181.3431000961305
FDN13,OUT035,2181.178460051737
FDF45,OUT027,2181.5860912136864
FDU46,OUT035,2181.2008981521535
FDB57,OUT049,2181.5207134054813
FDV12,OUT049,2181.304781101802
FDQ58,OUT013,2181.3654465133604
NCA18,OUT017,2181.234424514646
FDH52,OUT049,2181.2468113158416
FDM24,OUT018,2181.385786202625
NCP43,OUT027,2181.781009092388
NCO18,OUT019,2180.887813726216
FDM32,OUT017,2181.204189367102
NCL07,OUT017,2181.113093482207
FDK03,OUT013,2181.516505260143
FDP59,OUT017,2181.2117193194995
FDQ24,OUT049,2181.5516502103687
FDQ16,OUT018,2181.33012191983
FDU44,OUT013,2181.3683040400665
FDH28,OUT010,2180.6417775244313
FDV28,OUT019,2180.584794446858
FDM22,OUT045,2181.136224217337
FDR56,OUT046,2181.3261911845407
FDV39,OUT049,2181.4820085829483
FDU37,OUT019,2180.6876655713822
FDQ11,OUT010,2181.0366241140255
FDX02,OUT045,2181.411791161827
NCS42,OUT018,2181.2938050235603
FDY57,OUT027,2181.611288467235
FDB21,OUT049,2181.51414339429
FDE28,OUT017,2181.399516838373
FDQ55,OUT017,2181.242941309266
FDA48,OUT049,2181.492384954941
FDZ19,OUT045,2181.319744485116
NCC43,OUT045,2181.4487577107757
NCV18,OUT046,2181.13642492669
NCA42,OUT018,2181.415732597857
FDY45,OUT046,2181.4479302251852
NCC30,OUT045,2181.346811419
FDM57,OUT013,2181.2388703731776
FDL09,OUT010,2180.8442881916603
FDB09,OUT027,2181.6799880753383
FDT44,OUT035,2181.2253083586015
NCT06,OUT027,2181.750698084209
FDX26,OUT049,2181.435632111996
FDK32,OUT013,2181.358598175524
DRA12,OUT046,2181.2562906277376
FDO46,OUT010,2180.9359842905396
FDE52,OUT013,2181.2546566594206
NCH42,OUT045,2181.4289229100864
FDV08,OUT035,2181.1207303347055
FDB47,OUT018,2181.4880602107223
FDC28,OUT010,2180.787916237201
FDD22,OUT046,2181.1906355054875
FDS07,OUT027,2181.65163830026
DRI13,OUT045,2181.4118985060372
FDG32,OUT018,2181.477056654622
FDU14,OUT017,2181.4625549244483
FDD28,OUT019,2180.6785954786337
NCP41,OUT017,2181.235842285057
FDS08,OUT049,2181.4311645268444
FDX47,OUT045,2181.3095416636306
FDC53,OUT019,2180.7705754315766
FDQ19,OUT035,2181.453638209871
FDL14,OUT045,2181.305929006499
FDM33,OUT019,2180.9286633314446
FDA51,OUT045,2181.1975561457384
FDZ27,OUT018,2181.2368682068422
FDT04,OUT046,2181.0688003020773
DRC13,OUT049,2181.3555231665837
FDR16,OUT027,2181.8142702286677
FDQ03,OUT027,2181.8577848933537
FDE38,OUT035,2181.323508408603
DRH23,OUT027,2181.5346281589545
FDT11,OUT019,2180.9039781816596
FDD09,OUT035,2181.3500695265166
FDR40,OUT045,2181.192819271137
FDX07,OUT017,2181.355873457338
FDR07,OUT035,2181.196793801222
FDA51,OUT017,2181.199028514238
FDT59,OUT019,2180.981184656797
FDF20,OUT017,2181.3718997320184
FDR13,OUT045,2181.2408502814415
FDY26,OUT049,2181.4971541439377
FDW04,OUT017,2181.256813989532
FDK52,OUT017,2181.4106348852542
FDN60,OUT049,2181.3902387445087
FDM09,OUT019,2180.846566644396
FDP46,OUT049,2181.2820233707143
FDB50,OUT019,2180.6598626485224
NCQ29,OUT049,2181.555348483601
FDP16,OUT027,2181.8843969416616
FDX33,OUT018,2181.3925448261684
FDP07,OUT010,2180.9316321419406
FDN22,OUT046,2181.4059337896642
FDF39,OUT049,2181.585613520477
FDS21,OUT017,2181.1538220324683
NCM42,OUT013,2181.289028260909
FDK50,OUT019,2180.864449515851
DRF13,OUT027,2181.7247353559874
FDH35,OUT018,2181.4143091198366
FDP60,OUT018,2181.3092179175333
DRJ49,OUT027,2181.7017270258916
NCT42,OUT019,2180.8412574596186
FDE38,OUT049,2181.422719964582
FDI04,OUT049,2181.465362236441
NCH54,OUT045,2181.298758243555
FDT56,OUT049,2181.221974046776
DRD15,OUT018,2181.528270087795
FDV58,OUT013,2181.4056050279414
FDP21,OUT049,2181.4603874550357
FDH05,OUT013,2181.477702605409
FDR10,OUT027,2181.754716301571
NCP06,OUT045,2181.2947959584517
FDF33,OUT049,2181.328553249098
DRK37,OUT013,2181.421259259995
DRH49,OUT045,2181.1920020525495
FDT58,OUT013,2181.371363497125
FDD41,OUT018,2181.307797627584
FDP40,OUT018,2181.333593527211
FDM51,OUT027,2181.6511419990607
FDO45,OUT010,2180.7565778226904
FDW33,OUT010,2180.759272063197
FDY24,OUT045,2181.111640600344
FDB10,OUT010,2180.991504602498
FDM40,OUT035,2181.2460648051356
NCI06,OUT017,2181.344091044254
FDW12,OUT019,2180.8277596382427
FDX48,OUT027,2181.7354032350327
NCW05,OUT027,2181.623822910992
FDX27,OUT017,2181.182661838961
DRM37,OUT045,2181.3583251707396
FDA38,OUT045,2181.4509694882604
FDR36,OUT046,2181.0624180799596
FDZ45,OUT046,2181.340814174359
FDG05,OUT017,2181.2950668036806
FDK28,OUT013,2181.5277858525174
FDV47,OUT045,2181.185205824539
FDN21,OUT045,2181.3018502599916
FDP20,OUT027,2181.687428212335
FDI35,OUT045,2181.3475458409084
DRY23,OUT013,2181.159496073702
FDA56,OUT017,2181.2598360552142
FDB09,OUT013,2181.3067917268495
NCO26,OUT027,2181.6619022099553
FDQ49,OUT018,2181.4084041411106
FDI52,OUT027,2181.661988361811
FDZ44,OUT027,2181.6734426947146
FDZ09,OUT018,2181.4016522788484
FDY03,OUT049,2181.3232319604012
NCG42,OUT017,2181.261960904986
DRI13,OUT027,2181.844917865411
FDQ32,OUT013,2181.3140265678726
FDW16,OUT035,2181.197663933037
FDU27,OUT046,2181.059070896817
FDR28,OUT010,2180.8887713608556
FDQ49,OUT010,2180.8744132121537
FDS37,OUT046,2181.214794158672
FDW26,OUT018,2181.4935874432986
