Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1800.003713413536
FDW14,OUT017,1510.9249898295222
NCN55,OUT010,2009.5594251449297
FDQ58,OUT017,2463.819223439646
FDY38,OUT027,4759.861218680475
FDH56,OUT046,1930.6931219502565
FDL48,OUT018,970.9340664683427
FDC48,OUT027,2604.396455345021
FDN33,OUT045,1629.4671928694306
FDA36,OUT017,2912.1400431797415
FDT44,OUT017,1947.5432886113817
FDQ56,OUT045,1483.7795317626187
NCC54,OUT019,1990.7841684560426
FDU11,OUT049,2003.3146102343742
DRL59,OUT013,1014.3136807672981
FDM24,OUT049,2416.010006624457
FDI57,OUT045,3079.3808321119914
DRC12,OUT018,2970.8239738614175
NCM42,OUT027,3007.31442080463
FDA46,OUT010,1333.5235336852793
FDA31,OUT013,2744.899254247491
NCJ31,OUT035,3658.3544724204435
FDG52,OUT046,953.9491618850845
NCL19,OUT019,610.6775583926849
FDS10,OUT035,2825.4462593710496
FDX22,OUT010,1555.5730992266404
NCF19,OUT035,952.0240718573227
NCE06,OUT046,2553.254290416525
DRC27,OUT046,3725.347042494732
FDE21,OUT035,1922.2497446355121
NCR42,OUT019,940.8915292602951
FDX51,OUT018,3009.190680379617
NCR06,OUT018,862.687154834213
FDU31,OUT027,4527.96104627191
FDU59,OUT017,2593.58267493085
FDR03,OUT027,4349.9071054585775
FDS49,OUT027,2594.619024414547
FDD48,OUT010,212.01786955881175
NCF18,OUT017,2986.1321730479526
NCD43,OUT027,2918.73213493654
NCD54,OUT018,2283.5302459821078
FDY19,OUT010,249.01393449291754
NCY54,OUT017,2729.9010016774005
NCL19,OUT018,2304.194004730393
FDP23,OUT010,1664.2646953993467
FDC26,OUT013,1860.8860927710537
FDR14,OUT010,606.8180479660081
NCS41,OUT035,2861.0350947526977
FDF41,OUT035,3774.1188043238008
FDU34,OUT046,2039.8294026615395
DRH11,OUT046,1085.1198429287456
FDM03,OUT013,1783.5616433226232
FDS31,OUT017,2829.667948028422
