Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1854.5
FDW14,OUT017,1562.5
NCN55,OUT010,1863.0
FDQ58,OUT017,2590.5
FDY38,OUT027,5176.5
FDH56,OUT046,1919.0
FDL48,OUT018,596.0
FDC48,OUT027,2792.5
FDN33,OUT045,1504.5
FDA36,OUT017,3088.5
FDT44,OUT017,1998.5
FDQ56,OUT045,1318.5
NCC54,OUT019,1851.0
FDU11,OUT049,2056.5
DRL59,OUT013,917.0
FDM24,OUT049,2546.5
FDI57,OUT045,3092.5
DRC12,OUT018,2786.0
NCM42,OUT027,3196.5
FDA46,OUT010,1129.0
FDA31,OUT013,2805.0
NCJ31,OUT035,3873.0
FDG52,OUT046,809.0
NCL19,OUT019,364.0
FDS10,OUT035,3028.0
FDX22,OUT010,1445.0
NCF19,OUT035,922.0
NCE06,OUT046,2534.0
DRC27,OUT046,3871.0
FDE21,OUT035,2034.0
NCR42,OUT019,1360.0
FDX51,OUT018,2862.0
NCR06,OUT018,429.0
FDU31,OUT027,4944.5
FDU59,OUT017,2714.5
FDR03,OUT027,4750.5
FDS49,OUT027,2764.5
FDD48,OUT010,73.0
NCF18,OUT017,3112.0
NCD43,OUT027,3102.5
NCD54,OUT018,1992.5
FDY19,OUT010,37.0
NCY54,OUT017,2806.0
NCL19,OUT018,2019.0
FDP23,OUT010,1529.0
FDC26,OUT013,1825.0
FDR14,OUT010,1039.0
NCS41,OUT035,3025.0
FDF41,OUT035,4050.0
FDU34,OUT046,2007.0
DRH11,OUT046,951.0
FDM03,OUT013,1741.0
FDS31,OUT017,3018.5
FDJ20,OUT017,2092.5
FDV44,OUT027,4488.5
FDG02,OUT049,3112.5
FDA09,OUT013,2899.0
FDT04,OUT013,683.0
FDL58,OUT019,2283.0
FDE52,OUT045,1440.5
FDW12,OUT035,2500.0
FDL51,OUT017,3544.5
NCY42,OUT027,3692.5
FDR07,OUT017,1670.5
FDN40,OUT045,2368.5
FDB35,OUT027,2954.5
FDA22,OUT017,2740.5
NCL06,OUT046,4111.0
FDI35,OUT013,2919.0
NCW42,OUT045,3410.0
NCX06,OUT049,2938.5
FDC37,OUT027,3208.5
FDZ14,OUT018,1728.0
DRG49,OUT049,3974.5
NCG06,OUT045,3955.5
DRC36,OUT045,2736.5
FDV21,OUT019,59.0
FDB53,OUT046,2359.0
DRP47,OUT019,2055.0
FDA14,OUT013,2353.0
DRC24,OUT035,2594.0
FDW21,OUT018,1400.0
NCH29,OUT046,1553.0
FDU58,OUT013,3069.0
FDY27,OUT017,2938.5
FDV56,OUT035,1948.0
FDT59,OUT046,3663.0
FDB23,OUT046,3617.0
FDR49,OUT045,700.5
FDB03,OUT010,1897.0
FDN39,OUT045,2612.5
FDX02,OUT027,4988.5
FDQ16,OUT027,3200.5
FDU35,OUT018,1334.0
NCT29,OUT013,1959.0
FDZ27,OUT046,827.0
FDN57,OUT017,2354.5
FDA03,OUT018,2090.0
FDZ36,OUT045,2916.5
NCU05,OUT013,1323.5
FDT39,OUT018,2184.0
FDK60,OUT017,1702.5
FDZ25,OUT017,2840.5
FDG12,OUT046,2009.0
DRB01,OUT019,1135.0
NCC43,OUT027,5370.5
FDX13,OUT019,2037.0
FDM22,OUT049,1024.5
FDJ03,OUT027,2306.5
FDU14,OUT018,3682.0
FDB33,OUT010,633.0
FDP27,OUT046,3017.0
FDO38,OUT010,671.0
FDE28,OUT027,5138.5
FDO27,OUT035,1694.0
DRL23,OUT027,3196.5
FDS28,OUT046,963.0
FDX24,OUT013,1549.0
FDZ02,OUT035,1746.0
FDL46,OUT045,1820.5
FDS60,OUT027,4306.5
NCO06,OUT017,635.0
FDO16,OUT035,1540.0
FDC60,OUT049,1538.5
FDA48,OUT018,3200.0
FDZ36,OUT027,4444.5
FDK27,OUT045,1890.5
FDW23,OUT018,390.0
FDM14,OUT018,1516.0
FDM14,OUT013,1793.0
FDW60,OUT018,2598.0
FDE21,OUT013,1917.0
NCM42,OUT035,1883.5
FDY59,OUT010,385.0
DRI49,OUT049,1396.5
FDT28,OUT019,517.0
FDQ22,OUT018,416.0
FDR60,OUT049,1336.5
FDC50,OUT019,395.0
FDV24,OUT013,2447.0
DRF48,OUT010,1085.0
FDQ47,OUT046,639.0
DRN36,OUT049,1680.5
NCY06,OUT035,2174.0
FDE52,OUT035,1642.0
NCB54,OUT045,1940.5
NCF31,OUT035,2549.0
FDJ08,OUT027,4456.5
NCC07,OUT017,1791.5
NCD19,OUT027,2331.5
FDL46,OUT049,2014.5
FDM20,OUT045,3834.5
NCI06,OUT010,916.0
DRM11,OUT035,4242.0
NCH07,OUT018,2210.5
FDS23,OUT013,2089.0
FDO49,OUT018,592.0
FDS35,OUT049,1166.5
DRK39,OUT045,1286.5
DRI39,OUT049,1062.5
FDV04,OUT017,2632.5
NCN14,OUT035,3004.5
FDH08,OUT013,3701.0
FDS20,OUT046,2915.0
FDV40,OUT049,1348.5
FDZ48,OUT010,145.0
FDS24,OUT027,2910.5
FDK44,OUT049,2858.5
FDS48,OUT045,2348.5
FDK26,OUT010,1089.0
FDD23,OUT045,2966.5
NCH54,OUT017,2639.5
NCP14,OUT010,260.0
FDM60,OUT010,1209.0
FDV24,OUT017,2510.5
FDH08,OUT018,3360.0
FDS12,OUT027,3474.5
FDR39,OUT027,4322.5
FDP12,OUT027,2122.5
DRF60,OUT027,5196.5
FDC09,OUT035,1848.0
FDF50,OUT018,2864.0
FDG28,OUT035,4036.0
NCE19,OUT017,987.5
NCM53,OUT010,208.0
NCN18,OUT049,1844.0
FDF32,OUT035,3306.0
FDF11,OUT013,3861.0
DRI59,OUT049,3670.5
NCG54,OUT035,2805.0
FDM44,OUT046,1651.0
FDT57,OUT018,3474.0
FDV24,OUT046,2407.0
FDI50,OUT019,1751.0
FDS09,OUT035,1034.0
NCC31,OUT027,3896.5
FDQ07,OUT019,1589.0
FDC22,OUT017,3162.5
FDZ56,OUT046,2709.0
FDZ40,OUT019,985.0
FDS46,OUT027,3394.5
DRD24,OUT045,2194.5
FDV45,OUT017,3114.5
FDL26,OUT045,2420.5
FDA56,OUT018,1718.0
FDN27,OUT046,1911.0
FDM20,OUT049,3978.5
FDO16,OUT017,1468.5
FDL03,OUT035,3292.0
FDE58,OUT046,1889.0
FDI02,OUT027,3280.5
NCC55,OUT019,1265.0
FDR03,OUT018,3034.0
FDB14,OUT017,1628.5
FDR45,OUT013,3849.0
NCN07,OUT017,2161.0
FDM51,OUT019,197.0
FDT52,OUT027,5360.5
FDL26,OUT046,2463.0
NCZ42,OUT046,3759.0
DRI47,OUT019,449.0
FDW40,OUT013,2311.0
FDN34,OUT046,2733.0
FDS01,OUT035,2996.0
NCG55,OUT045,1776.5
FDC11,OUT035,1550.0
FDX35,OUT018,3336.0
NCB06,OUT046,2521.0
FDR09,OUT019,2199.0
FDC53,OUT017,1690.5
FDY45,OUT013,4075.0
FDA22,OUT010,751.0
FDE02,OUT035,1678.0
FDW21,OUT045,1612.5
FDV34,OUT046,1255.0
FDS59,OUT049,1896.5
NCW17,OUT017,2131.5
NCK54,OUT046,1863.0
FDG17,OUT019,2005.0
FDG35,OUT017,2904.5
FDD08,OUT010,1259.0
NCO07,OUT017,3427.5
FDJ10,OUT010,355.0
FDW36,OUT017,1788.5
FDW21,OUT010,233.0
FDY19,OUT017,2010.5
DRE03,OUT013,839.0
NCC55,OUT049,721.0
FDH52,OUT010,831.0
FDO09,OUT017,4296.5
FDU43,OUT045,3754.5
FDX09,OUT010,861.0
FDH40,OUT019,519.0
FDW58,OUT017,1808.5
FDC47,OUT017,3686.5
NCR41,OUT035,1653.5
DRG49,OUT035,4014.0
FDC52,OUT027,3930.5
