Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1654.5350724573482
FDW14,OUT017,1362.5463925086171
NCN55,OUT010,575.186747107402
FDQ58,OUT017,2433.156325845849
FDY38,OUT027,5842.018148958554
FDH56,OUT046,1924.108471238403
FDL48,OUT018,755.9152578377605
FDC48,OUT027,2147.472780395464
FDN33,OUT045,1508.3169094064244
FDA36,OUT017,3100.9704828281474
FDT44,OUT017,1914.3911371282522
FDQ56,OUT045,1357.4199631190245
NCC54,OUT019,575.4816257997792
FDU11,OUT049,2017.8918291763202
DRL59,OUT013,896.9917374327763
FDM24,OUT049,2435.5485041407237
FDI57,OUT045,3029.5603858550357
DRC12,OUT018,2960.3784605593946
NCM42,OUT027,2917.0126424549862
FDA46,OUT010,502.3937570761647
FDA31,OUT013,2861.492999439703
NCJ31,OUT035,3840.270164563846
FDG52,OUT046,802.3026731799962
NCL19,OUT019,290.14728338021865
FDS10,OUT035,2964.8591902047915
FDX22,OUT010,564.4919177100261
NCF19,OUT035,760.9635859422086
NCE06,OUT046,2519.484169308235
DRC27,OUT046,3937.66627592818
FDE21,OUT035,1949.3128303648066
NCR42,OUT019,130.5619123623596
FDX51,OUT018,3004.2739975729137
NCR06,OUT018,617.6699453300037
FDU31,OUT027,5842.018148958554
FDU59,OUT017,2501.1722742962666
FDR03,OUT027,5840.690768463526
FDS49,OUT027,2017.4963916223535
FDD48,OUT010,266.980061604609
NCF18,OUT017,3035.4432874983086
NCD43,OUT027,2849.586723839758
NCD54,OUT018,2153.9789261022606
FDY19,OUT010,267.47243776148514
NCY54,OUT017,2846.7127295085643
NCL19,OUT018,2469.186108194899
FDP23,OUT010,572.7650206239701
FDC26,OUT013,1747.459137604874
FDR14,OUT010,130.5619123623596
NCS41,OUT035,3123.570704875482
FDF41,OUT035,3849.5966328014147
FDU34,OUT046,2034.1461138319883
DRH11,OUT046,989.5281275143836
FDM03,OUT013,1656.3547786527188
FDS31,OUT017,3063.5868237184754
FDJ20,OUT017,1988.8169984765805
FDV44,OUT027,5178.254002243157
FDG02,OUT049,3109.311707243277
FDA09,OUT013,3007.686935158638
